sn,Category,Sub-Category,Brand,Suvidhaa SKU,Product Title,Product Description,Product Image Link,Points
4,Kitchen Appliances,Pressure Cooker,LIFELONG,SIL-1098,Aluminium Pressure Cooker 3 ltr,Aluminium Pressure Cooker 3 ltr,SIL-1098.jpg,1600
5,Kitchen Appliances,Oven Toaster Griller ,BAJAJ,SIL-2044,Morphy Richards,"Bajaj Morphy Richards OFR Room Heater, 09 Fin 2000 Watts Oil Filled Room Heater , ISI Approved (OFR 9 Grey)",SIL-2044.jpg,TBD
10,Home Appliance,Gas Stove,SINGER,SIL-1687,Glass Gas Stove Maxiflare,Glass Gas Stove Maxiflare,SIL-1687.jpg,TBD
11,Kitchen Appliances,Casserole,WONDERCHEF,SIL-1688,Granite Die Cast Casserole Set ,"Granite Die-cast Non-stick Casserole Set, 6Pc (1150ML, 2000ML, 4500ML) With Lids, Induction Bottom, Soft Touch Handles, Pure Grade Aluminium, PFOA/Heavy Metal Free, 2 Years Warranty, Red",SIL-1688.jpg,TBD
25,Home Appliance,Steam Iron,LIFELONG,SIL-1884,Steam Iron ,Lifelong (LLSI01) Steam Iron Blue,SIL-1884.jpg,TBD
27,Home Appliance,Egg Boiler,LIFELONG,SIL-1891,Egg Boiler,"Lifelong Egg Boiler 360-Watt (Transparent and Silver Grey), Boil 7 eggs | Easy to clean| 3 Boiling Modes, Stainless Steel Body and Heating Plate, Automatic Turn-Off (1 Year Warranty)",SIL-1891.jpg,TBD
28,Kitchen Appliances,Kettle,LIFELONG,SIL-1892,1.8 Electric Kettle ,LifeLong EK02 1.8 Litre Electric Kettle (Black),SIL-1892.jpg,TBD
29,Home Appliance,Celling Fan,LIFELONG,SIL-1903,1200mm Ceiling Fan ,"Lifelong LLCF112 1200 mm 3 Blade Ceiling Fan  (White, Pack of 1)",SIL-1903.jpg,TBD
30,Health Care,Fitness,LIFELONG,SIL-1909,"Fit pro Spin Fitness Bike with Flywheel, Adjustable, Resistance, LCD Monitor and Heart Rate Sensor","Lifelong LLF45 Fit Pro Spin Fitness Bike with 6Kg Flywheel, Adjustable Resistance, LCD Monitor and Heart Rate Sensor for Fitness at Home; Home Workouts (1 Year Warranty, Max Weight: 120 kg)",SIL-1909.jpg,TBD
31,Home Appliance,Gas Stove,LIFELONG,SIL-1910,Stainless Steel 2 Burner Gas Stove,"Lifelong LLGS199 Stainless Steel 2 Burner Gas Stove, ISI Certified, Manual Ignition, Silver (1 Year Door-step Warranty)",SIL-1910.jpg,TBD
32,Home Appliance,Hand Mixer,LIFELONG,SIL-1918,150w Regalia Hand Mixer for mixing cake batters,"Lifelong LLHM01 150 W Regalia Hand Mixer For Mixing Cake Batters, Atta |2 Beaters & 2 Dough Attachments | Black (1 Year Warranty)",SIL-1918.jpg,TBD
34,Home Appliance,Room Heater,LIFELONG,SIL-1933,800 W Quartz Room Heater With 2 Power Setting,Lifelong LLQH923 Infinia 800 W (ISI Certified) Quartz Room Heater with 2 Power Settings (400W-800W)| 2 Rod Room Heater,SIL-1933.jpg,TBD
35,Health Care,Weighing Scale ,LIFELONG,SIL-1934,Digital Weighing Scale,Lifelong LLWS18 Digital Weighing Scale|Glass Weighing Scale Machine|Electronic Bathroom Scales & Weight Machine for Home & Human Balance with 2 Years warranty & Battery included (Black),SIL-1934.jpg,TBD
37,Home Appliance,Dry Iron,LIFELONG,SIL-1941,Stellar Dry Iron 1000W,Lifelong Stellar Dry Iron 1000W,SIL-1941.jpg,TBD
38,Home Appliance,Toothbursh,LIFELONG,SIL-2369,Ultra Care Battery Operated Toothbrush,Lifelong Ultra Care Battery Operated Toothbrush,SIL-2369.jpg,TBD
