sn,Category,Sub-Category,Brand,Suvidhaa SKU,Product Title,Product Description,Product Image Link,Points
1,Audio,Smart Speaker,Amazon,SIL-1099,Amazon Echo.,All-new Amazon Echo Dot (4th Gen),SIL-1099,4499
2,Laptop Backpak,Backpak,American Tourister,SIL-1100,American Tourister Laptop Backpack ,American Tourister Laptop Backpack TROT 01,SIL-1100,2390
3,Laptop Backpak,Backpak,American Tourister,SIL-1101,American Tourister Laptop Backpack ,American Tourister Laptop Backpack TROT 02,SIL-1101,3390
4,Laptop Backpak,Backpak,American Tourister,SIL-1102,American Tourister Laptop Backpack ,American Tourister Laptop Backpack TROT 03,SIL-1102,4000
5,Home Appliance,Vaccum Cleaner,Amour,SIL-1123,Amour Vaccum Cleaner,"Amour V7s Smart Robotic Vacuum Cleaner with Mopping & Sweeping Function, Auto-Recharge & Scheduling, Compatible with App/Alexa/Google, Realtime Navigation,Strong Suction Power,Long Lasting Battery",SIL-1123,39999
6,Tablet,I Pad,Apple,SIL-1124,Apple Ipad Wifi +Cellular,Apple 10.2-inch iPad Wi-Fi + Cellular 256GB - Silver,SIL-1124,61900
7,Tablet,I Pad,Apple,SIL-1125,Apple Ipad Wifi +Cellular,Apple 10.2-inch iPad Wi-Fi + Cellular 256GB - Space Grey,SIL-1125,61900
8,Tablet,I Pad,Apple,SIL-1126,Apple Ipad Wifi +Cellular,Apple 10.2-inch iPad Wi-Fi + Cellular 64GB - Silver,SIL-1126,46900
9,Tablet,I Pad,Apple,SIL-1127,Apple Ipad Wifi +Cellular,Apple 10.2-inch iPad Wi-Fi + Cellular 64GB - Space Grey,SIL-1127,46900
10,Tablet,I Pad,Apple,SIL-1128,Apple Ipad Wifi,Apple 10.2-inch iPad Wi-Fi 256GB - Silver,SIL-1128,48900
11,Tablet,I Pad,Apple,SIL-1129,Apple Ipad Wifi,Apple 10.2-inch iPad Wi-Fi 256GB - Space Grey,SIL-1129,48900
12,Tablet,I Pad,Apple,SIL-1130,Apple Ipad Wifi,Apple 10.2-inch iPad Wi-Fi 64GB - Silver,SIL-1130,33900
13,Tablet,I Pad,Apple,SIL-1131,Apple Ipad Wifi,Apple 10.2-inch iPad Wi-Fi 64GB - Space Grey,SIL-1131,33900
14,Laptop,Macbook,Apple,SIL-1132,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB - Gold",SIL-1132,99900
15,Laptop,Macbook,Apple,SIL-1133,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB - Silver",SIL-1133,99900
16,Laptop,Macbook,Apple,SIL-1134,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB - Space Grey",SIL-1134,99900
17,Laptop,Macbook,Apple,SIL-1135,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB - Midnight",SIL-1135,149900
18,Laptop,Macbook,Apple,SIL-1136,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB - Silver",SIL-1136,149900
19,Laptop,Macbook,Apple,SIL-1137,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB - Space Grey",SIL-1137,149900
20,Laptop,Macbook,Apple,SIL-1138,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB - Starlight",SIL-1138,149900
21,Laptop,Macbook,Apple,SIL-1139,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 256GB - Midnight",SIL-1139,119900
22,Laptop,Macbook,Apple,SIL-1140,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 256GB - Silver",SIL-1140,119900
23,Laptop,Macbook,Apple,SIL-1141,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 256GB - Space Grey",SIL-1141,119900
24,Laptop,Macbook,Apple,SIL-1142,Apple MacBook Air,"Apple 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 256GB - Starlight",SIL-1142,119900
25,Laptop,Macbook,Apple,SIL-1143,Apple MacBook pro,"Apple 13-inch MacBook Pro: Apple M2 chip with 8-core CPU and 10-core GPU, 256GB SSD - Silver",SIL-1143,129900
26,Laptop,Macbook,Apple,SIL-1144,Apple MacBook pro,"Apple 13-inch MacBook Pro: Apple M2 chip with 8-core CPU and 10-core GPU, 256GB SSD - Space Grey",SIL-1144,129900
27,Laptop,Macbook,Apple,SIL-1145,Apple MacBook pro,"Apple 13-inch MacBook Pro: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB SSD - Silver",SIL-1145,149900
28,Laptop,Macbook,Apple,SIL-1146,Apple MacBook pro,"Apple 13-inch MacBook Pro: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB SSD - Space Grey",SIL-1146,149900
29,Laptop,Macbook,Apple,SIL-1148,Apple MacBook pro,"Apple 14-inch MacBook Pro: Apple M1 Pro chip with 10?core CPU and 16?core GPU, 1TB SSD - Silver",SIL-1148,239900
30,Laptop,Macbook,Apple,SIL-1149,Apple MacBook pro,"Apple 14-inch MacBook Pro: Apple M1 Pro chip with 10?core CPU and 16?core GPU, 1TB SSD - Space Grey",SIL-1149,239900
31,Laptop,Macbook,Apple,SIL-1150,Apple MacBook pro,"Apple 14-inch MacBook Pro: Apple M1 Pro chip with 8?core CPU and 14?core GPU, 512GB SSD - Silver",SIL-1150,194900
32,Laptop,Macbook,Apple,SIL-1151,Apple MacBook pro,"Apple 14-inch MacBook Pro: Apple M1 Pro chip with 8?core CPU and 14?core GPU, 512GB SSD - Space Grey",SIL-1151,194900
33,Laptop,Macbook,Apple,SIL-1152,Apple MacBook pro,"Apple 16-inch MacBook Pro: Apple M1 Max chip with 10?core CPU and 32?core GPU, 1TB SSD - Silver",SIL-1152,329900
34,Laptop,Macbook,Apple,SIL-1153,Apple MacBook pro,"Apple 16-inch MacBook Pro: Apple M1 Max chip with 10?core CPU and 32?core GPU, 1TB SSD - Space Grey",SIL-1153,329900
35,Laptop,Macbook,Apple,SIL-1154,Apple MacBook pro,"Apple 16-inch MacBook Pro: Apple M1 Pro chip with 10?core CPU and 16?core GPU, 1TB SSD - Silver",SIL-1154,259900
36,Laptop,Macbook,Apple,SIL-1155,Apple MacBook pro,"Apple 16-inch MacBook Pro: Apple M1 Pro chip with 10?core CPU and 16?core GPU, 1TB SSD - Space Grey",SIL-1155,259900
37,Laptop,Macbook,Apple,SIL-1156,Apple MacBook pro,"Apple 16-inch MacBook Pro: Apple M1 Pro chip with 10?core CPU and 16?core GPU, 512GB SSD - Silver",SIL-1156,239900
38,Laptop,Macbook,Apple,SIL-1157,Apple MacBook pro,"Apple 16-inch MacBook Pro: Apple M1 Pro chip with 10?core CPU and 16?core GPU, 512GB SSD - Space Grey",SIL-1157,239900
39,Laptop,Macbook,Apple,SIL-1159,Apple iMac,"Apple 2021 iMac with 4.5K Retina Display (24-inch/60.96 cm, M1 chip with 8?core CPU and 8?core GPU, 8GB RAM, 256GB)",SIL-1159,139900
40,Audio,Airpods,Apple,SIL-1164,Apple Airpods,Apple AirPods (3rd�generation),SIL-1164,20500
41,Audio,Airpods,Apple,SIL-1165,Apple Airpods,Apple AirPods Max - Green,SIL-1165,66100
42,Audio,Airpods,Apple,SIL-1166,Apple Airpods,Apple AirPods Max - Pink,SIL-1166,66100
43,Audio,Airpods,Apple,SIL-1167,Apple Airpods,Apple AirPods Max - Silver,SIL-1167,66100
44,Audio,Airpods,Apple,SIL-1168,Apple Airpods,Apple AirPods Max - Sky Blue,SIL-1168,66100
45,Audio,Airpods,Apple,SIL-1169,Apple Airpods,Apple AirPods Max - Space Gray,SIL-1169,66100
46,Audio,Airpods,Apple,SIL-1170,Apple Airpods,Apple AirPods Pro with Magsafe case,SIL-1170,26300
47,Audio,Airpods,Apple,SIL-1171,Apple Airpods,Apple AirPods with Charging Case,SIL-1171,14100
48,Audio,Smart Speaker,Apple,SIL-1173,Apple Smart speaker,Apple HomePod mini - Blue,SIL-1173,9900
49,Audio,Smart Speaker,Apple,SIL-1174,Apple Smart speaker,Apple HomePod mini - Orange,SIL-1174,9900
50,Audio,Smart Speaker,Apple,SIL-1175,Apple Smart speaker,Apple Home-Pod mini - Space Grey,SIL-1175,9900
51,Audio,Smart Speaker,Apple,SIL-1176,Apple Smart speaker,Apple Home-Pod mini - White,SIL-1176,9900
52,Audio,Smart Speaker,Apple,SIL-1177,Apple Smart speaker,Apple HomePod mini - Yellow,SIL-1177,9900
53,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1178,Apple I pad Smart Cover,Apple iPad (6th Generation) Smart Cover�- White,SIL-1178,3500
54,Tablet,I Pad,Apple,SIL-1179,Apple iPad mini Wi-Fi + Cellular ,Apple iPad mini Wi-Fi + Cellular 256GB - Pink,SIL-1179,79900
55,Tablet,I Pad,Apple,SIL-1180,Apple iPad mini Wi-Fi + Cellular ,Apple iPad mini Wi-Fi + Cellular 256GB - Purple,SIL-1180,79900
56,Tablet,I Pad,Apple,SIL-1181,Apple iPad mini Wi-Fi + Cellular ,Apple iPad mini Wi-Fi + Cellular 256GB - Space Grey,SIL-1181,79900
57,Tablet,I Pad,Apple,SIL-1182,Apple iPad mini Wi-Fi + Cellular ,Apple iPad mini Wi-Fi + Cellular 256GB - Starlight,SIL-1182,79900
58,Tablet,I Pad,Apple,SIL-1183,Apple iPad mini Wi-Fi + Cellular ,Apple iPad mini Wi-Fi + Cellular 64GB - Pink,SIL-1183,64900
59,Tablet,I Pad,Apple,SIL-1184,Apple iPad mini Wi-Fi + Cellular ,Apple iPad mini Wi-Fi + Cellular 64GB - Purple,SIL-1184,64900
60,Tablet,I Pad,Apple,SIL-1185,Apple iPad mini Wi-Fi + Cellular ,Apple iPad mini Wi-Fi + Cellular 64GB - Space Grey,SIL-1185,64900
